Date,Site,N2O_ppb,sd_N2O_ppb
2006-01-20,JFJ,-999999.99,-999.99
2006-01-21,JFJ,-999999.99,-999.99
2006-01-22,JFJ,-999999.99,-999.99
2006-01-23,JFJ,-999999.99,-999.99
2006-01-24,JFJ,-999999.99,-999.99
2006-01-25,JFJ,-999999.99,-999.99
2006-01-26,JFJ,-999999.99,-999.99
2006-01-27,JFJ,-999999.99,-999.99
2006-01-28,JFJ,-999999.99,-999.99
2006-01-29,JFJ,-999999.99,-999.99
2006-01-30,JFJ,-999999.99,-999.99
2006-01-31,JFJ,-999999.99,-999.99
2006-02-01,JFJ,-999999.99,-999.99
2006-02-02,JFJ,-999999.99,-999.99
2006-02-03,JFJ,-999999.99,-999.99
2006-02-04,JFJ,-999999.99,-999.99
2006-02-05,JFJ,-999999.99,-999.99
2006-02-06,JFJ,-999999.99,-999.99
2006-02-07,JFJ,-999999.99,-999.99
2006-02-08,JFJ,-999999.99,-999.99
2006-02-09,JFJ,-999999.99,-999.99
2006-02-10,JFJ,-999999.99,-999.99
2006-02-11,JFJ,-999999.99,-999.99
2006-02-12,JFJ,-999999.99,-999.99
2006-02-13,JFJ,-999999.99,-999.99
2006-02-14,JFJ,-999999.99,-999.99
2006-02-15,JFJ,-999999.99,-999.99
2006-02-16,JFJ,-999999.99,-999.99
2006-02-17,JFJ,-999999.99,-999.99
2006-02-18,JFJ,-999999.99,-999.99
2006-02-19,JFJ,-999999.99,-999.99
2006-02-20,JFJ,-999999.99,-999.99
2006-02-21,JFJ,-999999.99,-999.99
2006-02-22,JFJ,-999999.99,-999.99
2006-02-23,JFJ,-999999.99,-999.99
2006-02-24,JFJ,-999999.99,-999.99
2006-02-25,JFJ,-999999.99,-999.99
2006-02-26,JFJ,-999999.99,-999.99
2006-02-27,JFJ,-999999.99,-999.99
2006-02-28,JFJ,-999999.99,-999.99
2006-03-01,JFJ,-999999.99,-999.99
2006-03-02,JFJ,-999999.99,-999.99
2006-03-03,JFJ,-999999.99,-999.99
2006-03-04,JFJ,-999999.99,-999.99
2006-03-05,JFJ,-999999.99,-999.99
2006-03-06,JFJ,-999999.99,-999.99
2006-03-07,JFJ,-999999.99,-999.99
2006-03-08,JFJ,-999999.99,-999.99
2006-03-09,JFJ,-999999.99,-999.99
2006-03-10,JFJ,-999999.99,-999.99
2006-03-11,JFJ,-999999.99,-999.99
2006-03-12,JFJ,-999999.99,-999.99
2006-03-13,JFJ,-999999.99,-999.99
2006-03-14,JFJ,-999999.99,-999.99
2006-03-15,JFJ,319.73,0.47
2006-03-16,JFJ,319.68,0.71
2006-03-17,JFJ,319.55,0.6
2006-03-18,JFJ,319.55,0.61
2006-03-19,JFJ,319.58,0.68
2006-03-20,JFJ,319.75,0.67
2006-03-21,JFJ,319.82,0.79
2006-03-22,JFJ,320.21,0.76
2006-03-23,JFJ,320.39,1.41
2006-03-24,JFJ,320.56,1.23
2006-03-25,JFJ,319.82,0.89
2006-03-26,JFJ,319.78,0.9
2006-03-27,JFJ,320.05,0.8
2006-03-28,JFJ,320.21,1.21
2006-03-29,JFJ,320.15,1.23
2006-03-30,JFJ,319.8,1.2
2006-03-31,JFJ,320.14,1.34
2006-04-01,JFJ,319.69,0.87
2006-04-02,JFJ,319.85,1.03
2006-04-03,JFJ,319.89,0.69
2006-04-04,JFJ,319.88,0.84
2006-04-05,JFJ,320.84,1.26
2006-04-06,JFJ,320.27,0.92
2006-04-07,JFJ,319.99,0.7
2006-04-08,JFJ,320.22,0.83
2006-04-09,JFJ,320.15,1.08
2006-04-10,JFJ,321.31,0.93
2006-04-11,JFJ,320.42,1.06
2006-04-12,JFJ,319.85,1.3
2006-04-13,JFJ,319.76,1.2
2006-04-14,JFJ,319.82,1.04
2006-04-15,JFJ,319.73,0.82
2006-04-16,JFJ,320.14,1.92
2006-04-17,JFJ,319.77,1.07
2006-04-18,JFJ,319.96,0.67
2006-04-19,JFJ,319.59,0.73
2006-04-20,JFJ,319.74,0.67
2006-04-21,JFJ,319.62,0.95
2006-04-22,JFJ,319.76,0.99
2006-04-23,JFJ,319.11,1.07
2006-04-24,JFJ,319.41,0.98
2006-04-25,JFJ,319.21,1.15
2006-04-26,JFJ,319.15,0.95
2006-04-27,JFJ,319.51,0.94
2006-04-28,JFJ,321.12,0.97
2006-04-29,JFJ,319.85,0.85
2006-04-30,JFJ,319.2,1.04
2006-05-01,JFJ,319.04,0.93
2006-05-02,JFJ,318.92,1.04
2006-05-03,JFJ,319.4,0.82
2006-05-04,JFJ,319.4,0.81
2006-05-05,JFJ,320.32,0.67
2006-05-06,JFJ,320.25,0.7
2006-05-07,JFJ,320.17,0.61
2006-05-08,JFJ,320.23,1.03
2006-05-09,JFJ,319.9,0.86
2006-05-10,JFJ,320.51,0.85
2006-05-11,JFJ,319.99,0.69
2006-05-12,JFJ,320.13,0.83
2006-05-13,JFJ,319.92,0.82
2006-05-14,JFJ,319.54,0.79
2006-05-15,JFJ,319.45,0.77
2006-05-16,JFJ,319.55,0.99
2006-05-17,JFJ,318.78,0.96
2006-05-18,JFJ,319.07,1.51
2006-05-19,JFJ,318.87,1.22
2006-05-20,JFJ,319.3,0.84
2006-05-21,JFJ,319.6,1.15
2006-05-22,JFJ,319.35,1.04
2006-05-23,JFJ,319.79,0.78
2006-05-24,JFJ,319.73,0.77
2006-05-25,JFJ,319.32,0.79
2006-05-26,JFJ,319.49,0.9
2006-05-27,JFJ,319.61,0.81
2006-05-28,JFJ,319.69,1.13
2006-05-29,JFJ,319.7,1.08
2006-05-30,JFJ,320,0.86
2006-05-31,JFJ,320.14,0.94
2006-06-01,JFJ,319.85,0.92
2006-06-02,JFJ,319.98,1.02
2006-06-03,JFJ,319.7,1.03
2006-06-04,JFJ,319.84,0.87
2006-06-05,JFJ,319.32,0.75
2006-06-06,JFJ,319.87,0.8
2006-06-07,JFJ,319.14,0.89
2006-06-08,JFJ,319.13,1.01
2006-06-09,JFJ,319.04,0.76
2006-06-10,JFJ,319.31,0.83
2006-06-11,JFJ,319.18,0.87
2006-06-12,JFJ,319.7,0.8
2006-06-13,JFJ,319.91,0.74
2006-06-14,JFJ,320,0.85
2006-06-15,JFJ,320.06,0.74
2006-06-16,JFJ,319.54,0.83
2006-06-17,JFJ,319.35,0.86
2006-06-18,JFJ,319.29,0.79
2006-06-19,JFJ,319.51,0.9
2006-06-20,JFJ,319.34,0.76
2006-06-21,JFJ,319.78,1.18
2006-06-22,JFJ,318.97,0.99
2006-06-23,JFJ,319.6,1.08
2006-06-24,JFJ,319.82,0.93
2006-06-25,JFJ,319.54,0.66
2006-06-26,JFJ,319.59,0.78
2006-06-27,JFJ,319.51,0.92
2006-06-28,JFJ,319.36,0.99
2006-06-29,JFJ,319.55,1.02
2006-06-30,JFJ,319.39,0.9
2006-07-01,JFJ,319.22,1.03
2006-07-02,JFJ,319.4,0.87
2006-07-03,JFJ,319.48,0.77
2006-07-04,JFJ,319.39,0.77
2006-07-05,JFJ,319.61,1.01
2006-07-06,JFJ,319.58,0.84
2006-07-07,JFJ,319.89,0.66
2006-07-08,JFJ,320.29,0.91
2006-07-09,JFJ,319.78,0.69
2006-07-10,JFJ,318.98,0.74
2006-07-11,JFJ,319.59,0.63
2006-07-12,JFJ,319.74,0.61
2006-07-13,JFJ,319.57,0.69
2006-07-14,JFJ,319.76,0.63
2006-07-15,JFJ,319.7,0.71
2006-07-16,JFJ,319.57,0.94
2006-07-17,JFJ,319.53,0.71
2006-07-18,JFJ,319.41,0.73
2006-07-19,JFJ,319.55,0.65
2006-07-20,JFJ,319.53,0.88
2006-07-21,JFJ,319.51,0.68
2006-07-22,JFJ,319.47,0.77
2006-07-23,JFJ,319.25,0.94
2006-07-24,JFJ,319.5,0.81
2006-07-25,JFJ,319.6,0.55
2006-07-26,JFJ,-999999.99,-999.99
2006-07-27,JFJ,319.64,0.66
2006-07-28,JFJ,319.48,0.65
2006-07-29,JFJ,319.59,0.7
2006-07-30,JFJ,319.58,0.94
2006-07-31,JFJ,319.4,0.91
2006-08-01,JFJ,319.21,0.97
2006-08-02,JFJ,318.88,0.98
2006-08-03,JFJ,319.01,0.88
2006-08-04,JFJ,319.38,0.9
2006-08-05,JFJ,319.57,1.05
2006-08-06,JFJ,319.29,0.88
2006-08-07,JFJ,319.25,0.93
2006-08-08,JFJ,319.27,1.23
2006-08-09,JFJ,319.36,0.86
2006-08-10,JFJ,318.61,1.07
2006-08-11,JFJ,319.03,1.41
2006-08-12,JFJ,318.6,1.26
2006-08-13,JFJ,318.48,1.27
2006-08-14,JFJ,318.92,1.31
2006-08-15,JFJ,318.69,1.55
2006-08-16,JFJ,319.21,1.48
2006-08-17,JFJ,318.97,1.14
2006-08-18,JFJ,319.62,1.36
2006-08-19,JFJ,319.52,1.49
2006-08-20,JFJ,319.58,1.41
2006-08-21,JFJ,319.3,1.09
2006-08-22,JFJ,318.88,1.25
2006-08-23,JFJ,319.07,0.91
2006-08-24,JFJ,319.46,1.28
2006-08-25,JFJ,319.18,1.19
2006-08-26,JFJ,319.01,1.38
2006-08-27,JFJ,319.26,1.1
2006-08-28,JFJ,318.78,1.36
2006-08-29,JFJ,319.05,1.43
2006-08-30,JFJ,319.17,1.36
2006-08-31,JFJ,319.07,1.19
2006-09-01,JFJ,319.28,1.47
2006-09-02,JFJ,319.35,1.27
2006-09-03,JFJ,318.93,0.93
2006-09-04,JFJ,319,0.84
2006-09-05,JFJ,319.39,0.99
2006-09-06,JFJ,319.68,0.9
2006-09-07,JFJ,319.52,0.83
2006-09-08,JFJ,319.31,0.74
2006-09-09,JFJ,320.02,1.05
2006-09-10,JFJ,319.89,0.59
2006-09-11,JFJ,319.76,0.76
2006-09-12,JFJ,319.63,0.72
2006-09-13,JFJ,319.9,0.81
2006-09-14,JFJ,320.02,1.31
2006-09-15,JFJ,319.87,1.2
2006-09-16,JFJ,319.84,1
2006-09-17,JFJ,320.72,1.14
2006-09-18,JFJ,320.67,1.02
2006-09-19,JFJ,320.13,1.08
2006-09-20,JFJ,319.59,0.82
2006-09-21,JFJ,319.94,1.06
2006-09-22,JFJ,319.88,0.82
2006-09-23,JFJ,-999999.99,-999.99
2006-09-24,JFJ,-999999.99,-999.99
2006-09-25,JFJ,-999999.99,-999.99
2006-09-26,JFJ,-999999.99,-999.99
2006-09-27,JFJ,-999999.99,-999.99
2006-09-28,JFJ,-999999.99,-999.99
2006-09-29,JFJ,-999999.99,-999.99
2006-09-30,JFJ,-999999.99,-999.99
2006-10-01,JFJ,-999999.99,-999.99
2006-10-02,JFJ,-999999.99,-999.99
2006-10-03,JFJ,-999999.99,-999.99
2006-10-04,JFJ,-999999.99,-999.99
2006-10-05,JFJ,-999999.99,-999.99
2006-10-06,JFJ,-999999.99,-999.99
2006-10-07,JFJ,-999999.99,-999.99
2006-10-08,JFJ,-999999.99,-999.99
2006-10-09,JFJ,-999999.99,-999.99
2006-10-10,JFJ,-999999.99,-999.99
2006-10-11,JFJ,-999999.99,-999.99
2006-10-12,JFJ,-999999.99,-999.99
2006-10-13,JFJ,-999999.99,-999.99
2006-10-14,JFJ,-999999.99,-999.99
2006-10-15,JFJ,-999999.99,-999.99
2006-10-16,JFJ,-999999.99,-999.99
2006-10-17,JFJ,-999999.99,-999.99
2006-10-18,JFJ,-999999.99,-999.99
2006-10-19,JFJ,-999999.99,-999.99
2006-10-20,JFJ,-999999.99,-999.99
2006-10-21,JFJ,-999999.99,-999.99
2006-10-22,JFJ,-999999.99,-999.99
2006-10-23,JFJ,-999999.99,-999.99
2006-10-24,JFJ,-999999.99,-999.99
2006-10-25,JFJ,-999999.99,-999.99
2006-10-26,JFJ,-999999.99,-999.99
2006-10-27,JFJ,-999999.99,-999.99
2006-10-28,JFJ,-999999.99,-999.99
2006-10-29,JFJ,-999999.99,-999.99
2006-10-30,JFJ,-999999.99,-999.99
2006-10-31,JFJ,-999999.99,-999.99
2006-11-01,JFJ,-999999.99,-999.99
2006-11-02,JFJ,-999999.99,-999.99
2006-11-03,JFJ,-999999.99,-999.99
2006-11-04,JFJ,-999999.99,-999.99
2006-11-05,JFJ,-999999.99,-999.99
2006-11-06,JFJ,-999999.99,-999.99
